Name,URL,Country,Institution,Notes
/ ChemFlow 20.05,vm-chemflow-francegrille.eu,France,/ ChemFlow 20.05,Login required; Quotas enabled; Galaxy v20.05; 164 tools
@ Belgium,usegalaxy.be,Belgium,@ Belgium,Login required; Quotas enabled; Galaxy v21.01; 3891 tools
ABiMS,galaxy.sb-roscoff.fr,France,ABiMS,Login required; Quotas enabled; Galaxy v19.05; 690 tools
ARGA,mem.rcees.ac.cn:8083,,ARGA,Galaxy v21.01
AuBi,galaxy.mesocentre.uca.fr,France,AuBi,Login required; Quotas enabled; Galaxy v21.05; 944 tools
Australia,usegalaxy.org.au,Australia,Australia,Quotas enabled; Has terms of service; Galaxy v22.05; 3873 tools
Baumeister Lab,mapping-by-sequencing.vm.uni-freiburg.de:8080,,Baumeister Lab,Quotas enabled; Galaxy v17.09; 64 tools
Binf,galaxy.bio.ku.dk,Denmark,Binf,Login required; Quotas enabled; Galaxy v21.01; 92 tools
BioBix,galaxy.ugent.be,Belgium,BioBix,Quotas enabled; Galaxy v22.05; 207 tools
Europe,usegalaxy.eu,Germany,Europe,Quotas enabled; Has terms of service; Galaxy v22.05; 10314 tools
France,usegalaxy.fr,France,France,Quotas enabled; Has terms of service; Galaxy v22.05; 3174 tools
Galaxy Docker Build,galaxy.bio.di.uminho.pt,Portugal,Galaxy Docker Build,Quotas enabled; Galaxy v20.09; 157 tools
Galaxy-GSA,www.moralab.science:8080,,Galaxy-GSA,Quotas enabled; Galaxy v21.05
Galaxy-SynBioCAD,galaxy-synbiocad.org,France,Galaxy-SynBioCAD,Login required; Galaxy v21.09; 123 tools
HyPhy,galaxy.hyphy.org,United States,HyPhy,Galaxy v22.05; 435 tools
ImmPort Galaxy,www.immportgalaxy.org,United States,ImmPort Galaxy,Login required; Quotas enabled; Has terms of service; Galaxy v20.01; 46 tools
iNAP,mem.rcees.ac.cn:8081,,iNAP,Quotas enabled; Galaxy v21.01
InteractoMIX,galaxy.interactomix.com,Spain,InteractoMIX,Galaxy v19.09; 82 tools
LAPPS,galaxy.lappsgrid.org,United States,LAPPS,Galaxy v19.01
Migale,galaxy.migale.inra.fr,France,Migale,Quotas enabled; Galaxy v20.09
MITOLINK,ab-openlab.csir.res.in/frog,,MITOLINK,Galaxy v20.01; 174 tools
MITOLINK,ab-openlab.csir.res.in/mitolink_v1,,MITOLINK,Galaxy v20.01; 174 tools
Norway,usegalaxy.no,Norway,Norway,Login required; Quotas enabled; Has terms of service; Galaxy v21.09; 3955 tools
palfinder,palfinder.ls.manchester.ac.uk,United Kingdom,palfinder,Login required; Quotas enabled; Has terms of service; Galaxy v19.05; 85 tools
Pasteur,galaxy.pasteur.fr,France,Pasteur,Quotas enabled; Galaxy v18.05; 716 tools
Protologger,protologger.de,Germany,Protologger,Quotas enabled; Galaxy v20.01; 67 tools
RNA-Seq,galaxy.networkanalyst.ca,Canada,RNA-Seq,Quotas enabled; Galaxy v18.05
TG/HWG,treegenes.cam.uchc.edu,United States,TG/HWG,Galaxy v20.01; 321 tools
unknown,aspendb.uga.edu:8085,,unknown,Galaxy v16.07
unknown,omicstudio.cloud:4001,,unknown,Galaxy v17.09
unknown,galaxy3.compbio.cs.cmu.edu:9001,,unknown,Login required; Galaxy v19.05
unknown,galaxy.ul.edu.lb,Lebanon,unknown,Galaxy v18.09
unknown,galaxy.informatik.uni-halle.de,Germany,unknown,Galaxy v16.01
unknown,life2cloud.com:6005,,unknown,Galaxy v19.05
unknown,apostl.moffitt.org,United States,unknown,Galaxy v16.04; 63 tools
unknown,bf2i-galaxy.insa-lyon.fr:8080,,unknown,Quotas enabled; Galaxy v20.01; 445 tools
unknown,143.169.238.104/galaxy,,unknown,Quotas enabled; Galaxy v19.05; 525 tools
unknown,bipaa-galaxy.genouest.org,France,unknown,Login required; Quotas enabled; Galaxy v21.09; 1570 tools
unknown,dintor.eurac.edu,Italy,unknown,Galaxy v17.05; 114 tools
unknown,www.freebioinfo.org,China,unknown,Quotas enabled; Galaxy v18.05; 374 tools
unknown,gio.sbcs.qmul.ac.uk,United Kingdom,unknown,Login required; Galaxy v16.01; 137 tools
unknown,galaxy.genouest.org,France,unknown,Login required; Quotas enabled; Galaxy v21.09; 5380 tools
unknown,galaxy.genelab.nasa.gov,United States,unknown,Quotas enabled; Galaxy v20.01; 223 tools
unknown,gigagalaxy.net,Singapore,unknown,Galaxy v15.07; 70 tools
unknown,galaxy-web.ipk-gatersleben.de,Germany,unknown,Quotas enabled; Galaxy v21.05; 111 tools
unknown,neo.engr.uconn.edu,United States,unknown,Quotas enabled; Galaxy v18.05; 88 tools
unknown,ngtax.systemsbiology.nl,Netherlands,unknown,Login required; Galaxy v20.09; 74 tools
unknown,pepsimili.e-nios.com:8080,,unknown,Login required; Quotas enabled; Galaxy v18.01; 168 tools
unknown,usegalaxy.org,United States,unknown,Quotas enabled; Has terms of service; Galaxy v23.0; 4494 tools
